Key,English (EN),Tiếng Việt (VI),한국어 (KR),中文 (CN),日本語 (JP)
checkbox_label,Do you want a VAT invoice?,Bạn có muốn xuất hoá đơn?,세금계산서를 발행하시겠습니까?,您需要开具增值税发票吗？,VAT請求書を発行しますか？
tax_code_placeholder,Enter Tax Code (e.g. 0316794479),Nhập mã số thuế (VD: 0316794479),사업자등록번호 입력 (예: 0316794479),输入税号 (例: 0316794479),税コードを入力 (例: 0316794479)
lookup_btn,Look up,Tra cứu,조회,查询,検索
looking_up,Looking up...,Đang tra cứu...,조회 중...,正在查询...,検索中...
company_name,Company Name,Tên công ty,회사명,公司名称,会社名
address,Address,Địa chỉ,주소,地址,住所
not_found,Tax code not found. Please check and try again.,Không tìm thấy MST. Vui lòng kiểm tra lại.,사업자등록번호를 찾을 수 없습니다. 확인 후 다시 시도해주세요.,未找到该税号，请检查后重试。,税コードが見つかりません。確認して再試行してください。
error,Lookup failed. Please try again.,Tra cứu thất bại. Vui lòng thử lại.,조회 실패. 다시 시도해주세요.,查询失败，请重试。,検索に失敗しました。もう一度お試しください。
invoice_info_title,VAT INVOICE INFO,THÔNG TIN XUẤT HOÁ ĐƠN,세금계산서 정보,增值税发票信息,VAT請求書情報
email,Company Email *,Email công ty *,회사 이메일 *,公司邮箱 *,会社メール *
phone,Company Phone *,SĐT công ty *,회사 전화번호 *,公司电话 *,会社電話 *
required_fields,Please enter company Email and Phone,Vui lòng nhập Email và SĐT công ty,회사 이메일과 전화번호를 입력해주세요,请输入公司邮箱和电话,会社のメールアドレスと電話番号を入力してください
